Example_Index,Loss
792,5.289120197296143
793,5.317645072937012
794,5.305288314819336
795,5.2859296798706055
796,5.2364044189453125
797,5.227283000946045
798,5.174428462982178
799,5.113208293914795
800,5.092387676239014
801,5.137458324432373
802,5.22352409362793
803,5.211738586425781
804,5.374897003173828
805,5.331103324890137
806,5.269839286804199
807,5.27622652053833
808,5.255381107330322
809,5.134041786193848
810,5.148791790008545
811,5.181456565856934
812,5.122232437133789
813,5.199926853179932
814,5.278046131134033
815,5.328517436981201
816,5.252521514892578
817,5.169757843017578
818,5.007954120635986
819,4.986620903015137
820,4.9653754234313965
821,5.07513427734375
822,4.989550590515137
823,5.01503849029541
824,4.975624084472656
825,4.979436874389648
826,4.914544105529785
827,4.924813270568848
828,4.913510322570801
829,4.934195518493652
830,4.835659980773926
831,4.926617622375488
832,4.8682661056518555
833,5.027346134185791
834,5.0380167961120605
835,5.084993362426758
836,5.122183799743652
837,5.10695219039917
838,5.099681377410889
839,5.152215480804443
840,4.989781856536865
841,5.008303165435791
842,5.067270278930664
843,5.008968830108643
844,5.055116176605225
845,5.19989538192749
846,5.145782470703125
847,5.318936347961426
848,5.215386867523193
849,5.313173770904541
850,5.251377105712891
851,5.3076276779174805
852,5.213253974914551
853,5.250805854797363
854,5.332816123962402
855,5.267952919006348
856,5.338018417358398
857,5.319156646728516
858,5.271116256713867
859,5.257535934448242
860,5.186896324157715
861,5.1750407218933105
862,5.110456943511963
863,5.126495361328125
864,5.169896125793457
865,5.142591953277588
866,5.088413238525391
867,5.176029682159424
868,5.208358287811279
869,5.0634446144104
870,5.201672077178955
871,5.151243209838867
872,5.228081703186035
873,5.282920837402344
874,5.447961807250977
875,5.421554088592529
876,5.3953447341918945
877,5.374608039855957
878,5.366294860839844
879,5.289158344268799
880,5.298423767089844
881,5.364107131958008
882,5.374047756195068
883,5.291244029998779
884,5.4417290687561035
885,5.27163553237915
886,5.304922580718994
887,5.243886947631836
888,5.305006980895996
889,5.345844745635986
890,5.363195419311523
891,5.370126724243164
892,5.452690601348877
893,5.5904927253723145
894,5.6134033203125
895,5.610385894775391
896,5.534294128417969
897,5.340048789978027
898,5.377081871032715
899,5.232912540435791
900,5.132452964782715
901,5.143213272094727
902,5.1000213623046875
903,5.14638090133667
904,5.2174482345581055
905,5.136319637298584
906,5.040225982666016
907,4.922896862030029
908,5.010823726654053
909,5.04257345199585
910,5.12602424621582
911,5.029674530029297
912,5.122265815734863
913,5.177304744720459
914,5.136512279510498
915,5.110513210296631
916,5.12339448928833
917,5.128141403198242
918,5.049657344818115
919,5.003806114196777
920,4.822309494018555
921,4.822633266448975
922,4.866750240325928
923,4.885692596435547
924,4.994751930236816
925,5.042844295501709
926,4.958075523376465
927,4.936980724334717
928,4.923378944396973
929,4.93676233291626
930,4.911962032318115
931,4.920304775238037
932,4.863002300262451
933,4.957040786743164
934,4.834594249725342
935,4.875657081604004
936,4.769935607910156
937,4.88508939743042
938,4.938787937164307
939,4.911404609680176
940,4.981097221374512
941,4.936962604522705
942,4.892194747924805
943,4.845364570617676
944,4.928149700164795
945,4.926304817199707
946,4.959481716156006
947,4.897022724151611
948,4.808972358703613
949,4.876284599304199
950,4.967177867889404
951,5.029376029968262
952,5.114905834197998
953,5.185153007507324
954,5.191311359405518
955,5.215484142303467
956,5.183286190032959
957,5.072307586669922
958,5.203784942626953
959,5.066774368286133
960,5.1026387214660645
961,5.145260334014893
962,5.25338077545166
963,5.364725112915039
964,5.496366500854492
965,5.465909481048584
966,5.5184454917907715
967,5.48274564743042
968,5.405807971954346
969,5.390902519226074
970,5.356425762176514
971,5.381596565246582
972,5.369439125061035
973,5.25732421875
974,5.104715347290039
975,5.146028995513916
976,5.197122573852539
977,5.008439540863037
978,5.0341973304748535
979,4.9111528396606445
980,4.9399189949035645
981,5.020841121673584
982,5.009928226470947
983,4.998965263366699
984,5.0423197746276855
985,5.1271491050720215
986,5.167365074157715
987,5.244935512542725
988,5.129204750061035
989,5.14342737197876
990,5.049943923950195
991,5.2138166427612305
992,5.250635147094727
993,5.3388190269470215
994,5.422597885131836
995,5.447469711303711
996,5.539250373840332
997,5.549684524536133
998,5.43887996673584
999,5.443583965301514
1000,5.408233165740967
1001,5.3011088371276855
1002,5.167515277862549
1003,5.133854389190674
1004,5.09298849105835
1005,5.118769645690918
1006,5.104604244232178
1007,5.045540809631348
1008,5.13230037689209
1009,5.246232032775879
1010,5.152878284454346
1011,5.279046535491943
1012,5.366830348968506
1013,5.224838733673096
1014,5.127170562744141
1015,5.117552280426025
1016,4.978459358215332
1017,4.849048137664795
1018,4.812906265258789
1019,4.945868968963623
1020,5.003087043762207
1021,4.970928192138672
1022,4.8543782234191895
1023,4.769704341888428
1024,4.806200981140137
1025,4.926665782928467
1026,4.8777313232421875
1027,4.806472301483154
1028,4.752411365509033
1029,4.835808753967285
1030,4.701755523681641
1031,4.836709499359131
1032,4.757264137268066
1033,4.772525310516357
1034,4.7583513259887695
1035,4.71632719039917
1036,4.764498233795166
1037,4.775074481964111
1038,4.767656326293945
1039,4.833322525024414
1040,4.7948689460754395
1041,4.729839324951172
1042,4.7639336585998535
1043,4.8583502769470215
1044,4.934309482574463
1045,4.912215709686279
1046,4.983395576477051
1047,4.9969635009765625
1048,4.970314979553223
1049,4.808286666870117
1050,4.9477057456970215
1051,4.918505668640137
1052,5.00078010559082
1053,4.944554805755615
1054,4.9063568115234375
1055,4.833100318908691
1056,4.842568874359131
1057,4.796948432922363
1058,4.716324329376221
1059,4.6452836990356445
1060,4.558905601501465
1061,4.492615222930908
1062,4.459271430969238
1063,4.401975154876709
1064,4.397515773773193
1065,4.541326999664307
1066,4.6774373054504395
1067,4.595291614532471
1068,4.697580814361572
1069,4.766031742095947
1070,4.901407718658447
1071,4.924074649810791
1072,4.911452770233154
1073,4.828271865844727
1074,4.818579196929932
1075,4.8064188957214355
1076,4.805421352386475
1077,4.882819652557373
1078,4.973269462585449
1079,4.995664596557617
1080,5.01869010925293
1081,5.091715335845947
1082,5.073190212249756
1083,4.93185567855835
1084,4.931583881378174
1085,4.878814220428467
1086,4.866921424865723
1087,4.853673934936523
1088,4.881181716918945
1089,4.851298809051514
1090,4.916132926940918
1091,4.978075981140137
1092,4.880421161651611
1093,4.724663257598877
1094,4.750624179840088
1095,4.653928279876709
1096,4.770413875579834
1097,4.850201606750488
1098,4.719545364379883
1099,4.714130401611328
1100,4.564113140106201
1101,4.573482990264893
1102,4.676965236663818
1103,4.617308139801025
1104,4.713271141052246
1105,4.75229549407959
1106,4.884522438049316
1107,4.69729471206665
1108,4.7558207511901855
1109,4.820511341094971
1110,4.710159778594971
1111,4.71172571182251
1112,4.808021545410156
1113,4.8826446533203125
1114,4.7786078453063965
1115,4.791779518127441
1116,4.7184906005859375
1117,4.807037830352783
1118,4.830235481262207
1119,4.918416500091553
1120,4.859701633453369
1121,4.9111785888671875
1122,4.925636291503906
1123,5.033341407775879
1124,5.055394172668457
1125,4.999363422393799
1126,5.134877681732178
1127,5.166912078857422
1128,5.222394943237305
1129,5.137343883514404
1130,5.165138244628906
1131,5.061378002166748
1132,4.9171142578125
1133,4.964510440826416
1134,5.044343948364258
1135,5.084946155548096
1136,4.937188625335693
1137,5.067341327667236
1138,5.045031547546387
1139,5.0561065673828125
1140,5.042594909667969
1141,5.105147838592529
1142,5.099706649780273
1143,5.0663957595825195
1144,5.1260504722595215
1145,5.103204250335693
1146,5.187897682189941
1147,5.296319484710693
1148,5.229184627532959
1149,5.306766986846924
1150,5.409158706665039
1151,5.377634525299072
1152,5.3913116455078125
1153,5.487375259399414
1154,5.380125999450684
1155,5.37670373916626
1156,5.461055755615234
1157,5.4836931228637695
1158,5.520634174346924
1159,5.502345085144043
1160,5.444778919219971
1161,5.475216388702393
1162,5.543209552764893
1163,5.625649929046631
1164,5.670847415924072
1165,5.735756874084473
1166,5.78499698638916
1167,5.853060722351074
1168,5.697110176086426
1169,5.7920942306518555
1170,5.6568284034729
1171,5.70943546295166
1172,5.796152591705322
1173,5.814990043640137
1174,5.782344341278076
1175,5.723496437072754
1176,5.748044967651367
1177,5.7738356590271
1178,5.641112804412842
1179,5.7797088623046875
1180,5.827258586883545
